Model,Train Accuracy,Test Accuracy,F1 Score,CV Mean,Overfitting
KNN,0.6790971540726202,0.5215686274509804,0.5206096401802364,0.4921604759840054,Yes
Naive Bayes,0.5206084396467124,0.5058823529411764,0.49775298231180587,0.5156898877487113,No
SVM,0.6079489695780177,0.503921568627451,0.4978766644897918,0.5122886255239196,Yes
Logistic Regression,0.5471050049067714,0.5019607843137255,0.49934053931050176,0.5255335549453196,No
Random Forest,1.0,0.49607843137254903,0.4960648694173689,0.5221057956352074,Yes
Random Forest (Tuned),0.9362119725220804,0.492156862745098,0.49122719518484725,0.5279821265115382,Yes
Decision Tree,1.0,0.48627450980392156,0.48619547511312217,0.5132473382473381,Yes
